Image Name, Camera IP, Date, Time ,Zone, Person Count
14-09-2023T15-40-30.430_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:30.430, Zone2.1, 0
14-09-2023T15-40-30.430_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:30.430, Zone2, 0
14-09-2023T15-40-30.447_depth_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:30.447, Zone3, 0
14-09-2023T15-40-30.421_depth_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:30.421, Zone4, 0
14-09-2023T15-40-30.442_depth_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:30.442, Zone5, 0
14-09-2023T15-40-30.430_depth_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:30.430, Zone7, 0
14-09-2023T15-40-30.434_depth_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:30.434, Zone8, 0
14-09-2023T15-40-30.446_depth_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:30.446, Zone9, 0
14-09-2023T15-40-30.547_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:30.547, Zone1, 0
14-09-2023T15-40-30.547_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:30.547, Zone 1.1, 0
14-09-2023T15-40-30.547_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:30.547, Zone2.1, 0
14-09-2023T15-40-30.547_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:30.547, Zone2, 0
14-09-2023T15-40-30.568_validation_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:30.568, Zone3, 0
14-09-2023T15-40-30.555_validation_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:30.555, Zone4, 0
14-09-2023T15-40-30.564_validation_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:30.564, Zone5, 0
14-09-2023T15-40-30.564_validation_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:30.564, Zone7, 0
14-09-2023T15-40-30.555_validation_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:30.555, Zone8, 0
14-09-2023T15-40-30.564_validation_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:30.564, Zone9, 0
14-09-2023T15-40-31.160_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.160, Zone1, 0
14-09-2023T15-40-31.160_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.160, Zone 1.1, 0
14-09-2023T15-40-31.161_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.161, Zone2.1, 0
14-09-2023T15-40-31.161_depth_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.161, Zone2, 0
14-09-2023T15-40-31.182_depth_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:31.182, Zone3, 0
14-09-2023T15-40-31.160_depth_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:31.160, Zone4, 0
14-09-2023T15-40-31.188_depth_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:31.188, Zone5, 0
14-09-2023T15-40-31.170_depth_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:31.170, Zone7, 0
14-09-2023T15-40-31.169_depth_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:31.169, Zone8, 0
14-09-2023T15-40-31.182_depth_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:31.182, Zone9, 0
14-09-2023T15-40-31.292_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.292, Zone1, 0
14-09-2023T15-40-31.292_validation_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.292, Zone 1.1, 0
14-09-2023T15-40-31.301_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.301, Zone2.1, 0
14-09-2023T15-40-31.301_validation_Camera_45.png, http://10.179.0.45, 2023-09-14,15:40:31.301, Zone2, 0
14-09-2023T15-40-31.311_validation_Camera_34.png, http://10.179.0.34, 2023-09-14,15:40:31.311, Zone3, 0
14-09-2023T15-40-31.292_validation_Camera_43.png, http://10.179.0.43, 2023-09-14,15:40:31.292, Zone4, 0
14-09-2023T15-40-31.307_validation_Camera_20.png, http://10.179.0.20, 2023-09-14,15:40:31.307, Zone5, 0
14-09-2023T15-40-31.300_validation_Camera_12.png, http://10.179.0.12, 2023-09-14,15:40:31.300, Zone7, 0
14-09-2023T15-40-31.300_validation_Camera_28.png, http://10.179.0.28, 2023-09-14,15:40:31.300, Zone8, 0
14-09-2023T15-40-31.312_validation_Camera_21.png, http://10.179.0.21, 2023-09-14,15:40:31.312, Zone9, 0
14-09-2023T15-40-31.914_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.914, Zone1, 0
14-09-2023T15-40-31.914_depth_Camera_46.png, http://10.179.0.46, 2023-09-14,15:40:31.914, Zone 1.1, 0
