Date,Time logged,Updated,Zone,Person Count
2023-10-07,17:13:12.035,17:13:11.977,Zone_09-03,0
2023-10-07,17:13:12.036,17:13:11.977,Zone_09-02,0
2023-10-07,17:13:12.036,17:13:11.977,Zone_09-01,0
2023-10-07,17:13:12.036,17:13:11.977,Zone_07-01,0
2023-10-07,17:13:12.037,17:13:11.977,Zone_07-02,0
2023-10-07,17:13:12.037,17:13:11.977,Zone_07-03,0
2023-10-07,17:13:12.038,17:13:11.977,Zone_07-04,0
2023-10-07,17:13:12.038,17:13:11.977,Zone_05-03,0
2023-10-07,17:13:12.039,17:13:11.977,Zone_05-04,0
2023-10-07,17:13:12.039,17:13:11.977,Zone_05-05,0
2023-10-07,17:13:12.039,17:13:11.977,Zone_05-06,0
2023-10-07,17:13:12.040,17:13:11.977,Zone_05-01,0
2023-10-07,17:13:12.041,17:13:11.977,Zone_05-02,0
2023-10-07,17:13:12.041,17:13:12.001,Zone_03-01,0
2023-10-07,17:13:12.041,17:13:12.001,Zone_03-02,0
2023-10-07,17:13:12.042,17:13:12.001,Zone_03-03,0
2023-10-07,17:13:12.042,17:13:11.977,Zone_02-01,0
2023-10-07,17:13:12.043,17:13:11.977,Zone_02-03,0
2023-10-07,17:13:12.043,17:13:11.977,Zone_02-02,0
2023-10-07,17:13:12.043,17:13:11.977,Zone_02-05,0
2023-10-07,17:13:12.044,17:13:11.977,Zone_02-04,0
2023-10-07,17:13:12.044,17:13:11.974,Zone_04-01,0
2023-10-07,17:13:12.045,17:13:11.974,Zone_04-06,0
2023-10-07,17:13:12.045,17:13:11.974,Zone_04-02,0
2023-10-07,17:13:12.046,17:13:11.974,Zone_04-03,0
2023-10-07,17:13:12.046,17:13:11.974,Zone_04-04,0
2023-10-07,17:13:12.046,17:13:11.974,Zone_04-05,0
2023-10-07,17:13:12.047,17:13:11.974,Zone_06-05,0
2023-10-07,17:13:12.047,17:13:11.974,Zone_06-04,0
2023-10-07,17:13:12.048,17:13:11.974,Zone_06-01,0
2023-10-07,17:13:12.048,17:13:11.974,Zone_06-03,0
2023-10-07,17:13:12.048,17:13:11.974,Zone_06-02,0
2023-10-07,17:13:12.049,17:13:11.977,Zone_14-01,0
2023-10-07,17:13:12.049,17:13:11.977,Zone_14-02,0
2023-10-07,17:13:12.050,17:13:11.977,Zone_14-03,0
2023-10-07,17:13:12.050,17:13:11.977,Zone_14-04,0
2023-10-07,17:13:12.050,17:13:11.977,Zone_14-05,0
2023-10-07,17:13:12.051,17:13:11.977,Zone_14-06,0
2023-10-07,17:13:12.051,17:13:11.977,Zone_14-07,0
2023-10-07,17:13:12.052,17:13:11.977,Zone_13-06,0
2023-10-07,17:13:12.052,17:13:11.977,Zone_13-05,0
2023-10-07,17:13:12.052,17:13:11.977,Zone_13-04,0
2023-10-07,17:13:12.053,17:13:11.977,Zone_13-03,0
2023-10-07,17:13:12.053,17:13:11.977,Zone_13-02,0
2023-10-07,17:13:12.054,17:13:11.977,Zone_13-01,0
2023-10-07,17:13:12.054,17:13:12.001,Zone_08-01,0
2023-10-07,17:13:12.054,17:13:12.001,Zone_08-02,0
2023-10-07,17:13:12.055,17:13:11.977,Zone_12-05,0
2023-10-07,17:13:12.055,17:13:11.977,Zone_12-03,0
2023-10-07,17:13:12.056,17:13:11.977,Zone_12-04,0
2023-10-07,17:13:12.056,17:13:11.977,Zone_12-01,0
2023-10-07,17:13:12.057,17:13:11.977,Zone_12-02,0
2023-10-07,17:13:12.057,17:13:11.978,Zone_10-03,0
2023-10-07,17:13:12.057,17:13:11.978,Zone_10-04,0
2023-10-07,17:13:12.058,17:13:11.978,Zone_10-01,0
2023-10-07,17:13:12.058,17:13:11.978,Zone_10-02,0
2023-10-07,17:13:12.059,17:13:11.978,Zone_10-06,0
2023-10-07,17:13:12.059,17:13:11.978,Zone_10-05,0
2023-10-07,17:13:12.059,17:13:11.978,Zone_10-07,0
2023-10-07,17:13:12.060,17:13:11.978,Zone_01-06,0
2023-10-07,17:13:12.060,17:13:11.978,Zone_01-05,0
2023-10-07,17:13:12.060,17:13:11.978,Zone_01-04,0
2023-10-07,17:13:12.061,17:13:11.978,Zone_01-03,0
2023-10-07,17:13:12.062,17:13:11.978,Zone_01-02,0
2023-10-07,17:13:12.062,17:13:11.978,Zone_01-01,0
2023-10-07,17:13:12.062,17:13:11.978,Zone_01-07,0
2023-10-07,17:13:12.063,17:13:11.978,Zone_01-08,0
2023-10-07,17:13:12.518,17:13:12.472,Zone_09-04,0
2023-10-07,17:13:12.518,17:13:12.472,Zone_09-03,0
2023-10-07,17:13:12.518,17:13:12.472,Zone_09-02,0
2023-10-07,17:13:12.519,17:13:12.472,Zone_09-01,0
2023-10-07,17:13:12.519,17:13:12.472,Zone_07-01,0
2023-10-07,17:13:12.519,17:13:12.472,Zone_07-02,0
2023-10-07,17:13:12.520,17:13:12.472,Zone_07-03,0
2023-10-07,17:13:12.520,17:13:12.472,Zone_07-04,0
